date,batiment,zone,type_energie,kwh
2024-05-18,Entrepot_Nord,Production,gaz,275.83
2023-05-04,Entrepot_Nord,Production,gaz,625.67
2024-08-17,Usine_B,Production,electricite,470.51
2023-08-31,Entrepot_Nord,Production,electricite,127.75
2024-04-25,Usine_B,Production,electricite,377.86
2024-03-08,Usine_A,Eclairage,electricite,324.79
2023-09-26,Entrepot_Nord,Production,electricite,808.88
2023-08-06,Usine_B,Production,electricite,166.87
2023-10-12,Entrepot_Nord,Production,gaz,299.11
2023-12-10,Usine_B,Climatisation,electricite,62.22
2023-03-11,Usine_B,Production,electricite,165.35
2024-11-18,Usine_B,Production,gaz,475.08
2024-04-16,Entrepot_Nord,Production,electricite,640.82
2024-08-10,Usine_A,Eclairage,electricite,463.0
2023-05-07,Usine_A,Eclairage,electricite,761.71
2024-04-25,Usine_A,Production,gaz,335.28
2023-11-04,Entrepot_Nord,Production,gaz,386.6
2024-06-09,Usine_B,Climatisation,electricite,520.4
2024-07-13,Usine_B,Climatisation,electricite,523.01
2024-10-31,Entrepot_Nord,Eclairage,electricite,942.58
2024-03-23,Usine_A,Production,electricite,121.1
2023-08-29,Entrepot_Nord,Production,electricite,188.12
2024-02-25,Bureau_Central,Climatisation,electricite,165.79
2023-05-19,Bureau_Central,Bureaux,gaz,336.07
2023-03-20,Usine_B,Climatisation,electricite,44.76
2024-10-17,Usine_B,Production,electricite,564.56
2023-01-13,Usine_B,Production,gaz,538.14
2024-03-10,Entrepot_Nord,Production,electricite,507.38
2023-08-15,Usine_B,Production,electricite,398.64
2023-08-24,Usine_A,Eclairage,electricite,457.19
2024-01-13,Usine_B,Climatisation,electricite,151.17
2023-05-14,Bureau_Central,Climatisation,electricite,232.81
2023-09-05,Usine_B,Climatisation,electricite,175.11
2023-03-28,Usine_B,Production,gaz,772.28
2023-08-29,Usine_B,Climatisation,electricite,568.29
2023-04-03,Usine_B,Production,gaz,863.46
2023-08-07,Bureau_Central,Bureaux,electricite,767.84
2024-07-13,Bureau_Central,Climatisation,electricite,616.4
2024-04-08,Usine_B,Production,electricite,562.34
2023-04-03,Usine_A,Production,electricite,128.28
2024-02-05,Entrepot_Nord,Production,electricite,134.9
2023-10-04,Usine_B,Production,electricite,349.36
2024-06-14,Bureau_Central,Climatisation,electricite,712.11
2024-06-24,Entrepot_Nord,Production,electricite,196.44
2023-11-21,Usine_A,Production,gaz,837.57
2023-03-02,Bureau_Central,Bureaux,gaz,1021.34
2023-02-25,Usine_B,Production,electricite,671.33
2024-07-31,Bureau_Central,Climatisation,electricite,521.71
2023-10-30,Entrepot_Nord,Production,gaz,512.34
2024-10-26,Usine_A,Production,electricite,522.85
2024-05-03,Bureau_Central,Climatisation,electricite,400.6
2024-04-01,Usine_B,Production,electricite,147.12
2024-04-29,Entrepot_Nord,Production,electricite,139.04
2024-10-31,Usine_B,Production,gaz,294.09
2023-10-06,Entrepot_Nord,Eclairage,electricite,260.48
2023-02-27,Bureau_Central,Climatisation,electricite,65.12
2023-10-25,Usine_B,Production,electricite,737.96
2024-10-21,Entrepot_Nord,Eclairage,electricite,658.11
2024-07-06,Bureau_Central,Climatisation,electricite,490.92
2024-05-31,Usine_B,Production,gaz,493.79
2024-04-23,Usine_A,Production,electricite,591.43
2023-10-09,Usine_B,Production,electricite,550.83
2023-12-11,Usine_B,Climatisation,electricite,175.72
2024-06-24,Usine_B,Climatisation,electricite,507.84
2023-12-09,Usine_B,Climatisation,electricite,61.84
2024-02-22,Usine_B,Production,electricite,572.54
2023-04-15,Entrepot_Nord,Eclairage,electricite,948.67
2024-01-12,Entrepot_Nord,Eclairage,electricite,221.29
2024-05-19,Entrepot_Nord,Eclairage,electricite,168.7
2024-12-24,Entrepot_Nord,Eclairage,electricite,405.37
2024-09-19,Bureau_Central,Bureaux,electricite,644.91
2023-09-27,Bureau_Central,Bureaux,gaz,491.45
2024-11-17,Entrepot_Nord,Production,electricite,524.71
2024-09-29,Usine_A,Production,gaz,571.13
2024-02-21,Usine_A,Production,electricite,346.76
2023-05-18,Bureau_Central,Bureaux,electricite,156.49
2024-12-05,Usine_A,Production,electricite,634.28
2024-06-27,Usine_A,Production,gaz,435.07
2024-10-29,Bureau_Central,Bureaux,electricite,386.42
2024-06-06,Usine_B,Production,gaz,208.49
2023-05-16,Entrepot_Nord,Production,electricite,200.46
2023-08-17,Usine_A,Production,gaz,401.11
2024-08-14,Bureau_Central,Bureaux,gaz,168.25
2024-07-10,Entrepot_Nord,Eclairage,electricite,139.1
2023-08-11,Usine_A,Production,electricite,851.52
2024-02-22,Usine_A,Production,gaz,730.77
2024-08-09,Usine_A,Eclairage,electricite,789.08
2023-08-11,Bureau_Central,Bureaux,gaz,200.93
2024-03-22,Usine_B,Production,gaz,920.94
2024-12-11,Usine_A,Production,electricite,426.47
2023-12-20,Entrepot_Nord,Production,gaz,295.63
2023-02-18,Usine_A,Production,gaz,1084.7
2023-10-21,Usine_A,Eclairage,electricite,219.85
2024-12-10,Usine_B,Climatisation,electricite,47.51
2024-12-14,Entrepot_Nord,Production,gaz,584.78
2023-07-29,Entrepot_Nord,Production,gaz,170.01
2024-08-16,Usine_B,Climatisation,electricite,217.62
2023-05-01,Usine_A,Eclairage,electricite,610.48
2023-02-27,Usine_A,Production,electricite,383.42
2023-12-27,Bureau_Central,Bureaux,gaz,303.01
2023-08-27,Usine_A,Eclairage,electricite,582.64
2024-08-19,Entrepot_Nord,Production,electricite,577.11
2024-09-16,Usine_B,Production,gaz,226.72
2024-09-18,Bureau_Central,Climatisation,electricite,378.8
2024-01-13,Usine_A,Production,gaz,649.86
2024-01-19,Entrepot_Nord,Production,gaz,1127.14
2024-06-28,Entrepot_Nord,Eclairage,electricite,837.63
2023-05-03,Entrepot_Nord,Eclairage,electricite,451.29
2023-09-11,Usine_A,Production,electricite,598.1
2023-05-13,Usine_B,Climatisation,electricite,508.49
2023-04-20,Bureau_Central,Bureaux,electricite,343.24
2024-09-24,Usine_A,Production,gaz,210.04
2023-11-25,Usine_B,Climatisation,electricite,182.5
2023-12-23,Usine_A,Eclairage,electricite,534.85
2023-01-29,Usine_A,Production,electricite,349.2
2023-10-28,Usine_B,Production,gaz,552.36
2024-03-18,Usine_B,Climatisation,electricite,173.87
2023-10-31,Entrepot_Nord,Production,electricite,746.7
2024-05-17,Bureau_Central,Climatisation,electricite,373.75
2023-10-10,Bureau_Central,Climatisation,electricite,383.51
2023-02-09,Usine_B,Climatisation,electricite,120.42
2023-03-02,Bureau_Central,Climatisation,electricite,60.41
2023-10-09,Entrepot_Nord,Production,gaz,478.59
2023-05-05,Bureau_Central,Bureaux,gaz,370.54
2024-04-25,Bureau_Central,Climatisation,electricite,431.34
2024-04-20,Usine_B,Production,electricite,723.11
2023-09-07,Bureau_Central,Climatisation,electricite,153.7
2023-08-23,Entrepot_Nord,Production,gaz,271.53
2023-09-17,Usine_B,Production,gaz,246.54
2024-04-19,Bureau_Central,Climatisation,electricite,76.8
2023-03-22,Bureau_Central,Bureaux,gaz,901.28
2024-11-19,Entrepot_Nord,Production,gaz,840.41
2023-08-15,Usine_B,Climatisation,electricite,336.25
2023-10-23,Entrepot_Nord,Eclairage,electricite,487.65
2024-08-01,Entrepot_Nord,Production,electricite,455.79
2024-07-04,Entrepot_Nord,Eclairage,electricite,148.39
2023-06-13,Bureau_Central,Bureaux,electricite,605.37
2023-02-23,Usine_A,Production,electricite,890.01
2024-05-22,Usine_A,Eclairage,electricite,426.02
2023-12-17,Entrepot_Nord,Production,gaz,390.41
2023-07-11,Usine_B,Climatisation,electricite,141.49
2024-06-22,Bureau_Central,Climatisation,electricite,115.08
2024-08-26,Usine_B,Production,gaz,253.18
2024-09-11,Usine_B,Climatisation,electricite,558.86
2024-05-24,Usine_B,Climatisation,electricite,99.31
2023-11-28,Usine_A,Production,gaz,767.03
2024-05-28,Bureau_Central,Climatisation,electricite,247.96
2024-03-18,Usine_A,Eclairage,electricite,398.99
2023-07-16,Entrepot_Nord,Production,electricite,478.07
2024-12-20,Entrepot_Nord,Production,gaz,988.02
2024-02-17,Bureau_Central,Bureaux,gaz,333.62
2023-02-28,Usine_B,Climatisation,electricite,197.04
2023-09-25,Usine_B,Production,gaz,508.99
2024-10-03,Usine_B,Production,electricite,275.7
2023-03-12,Bureau_Central,Climatisation,electricite,127.25
2024-08-06,Entrepot_Nord,Production,electricite,595.38
2023-12-04,Bureau_Central,Bureaux,electricite,243.37
2023-10-03,Entrepot_Nord,Production,gaz,623.36
2023-06-13,Entrepot_Nord,Eclairage,electricite,835.13
2024-02-19,Bureau_Central,Bureaux,electricite,317.02
2024-10-10,Usine_B,Production,electricite,424.99
2024-07-19,Usine_A,Eclairage,electricite,372.38
2023-08-07,Usine_B,Production,gaz,405.77
2023-10-16,Usine_B,Production,electricite,337.59
2023-07-23,Entrepot_Nord,Production,gaz,491.01
2024-09-21,Entrepot_Nord,Production,gaz,171.23
2024-02-06,Entrepot_Nord,Eclairage,electricite,914.54
2023-10-22,Bureau_Central,Bureaux,gaz,304.23
2023-02-01,Entrepot_Nord,Eclairage,electricite,296.9
2024-12-17,Entrepot_Nord,Eclairage,electricite,509.92
2023-08-06,Entrepot_Nord,Production,gaz,351.0
2023-06-28,Usine_B,Production,electricite,
2024-04-19,Usine_A,Production,electricite,305.56
2023-12-20,Usine_A,Eclairage,electricite,146.27
2024-05-23,Usine_A,Production,gaz,274.69
2023-03-08,Usine_A,Production,electricite,476.72
2023-03-08,Bureau_Central,Bureaux,gaz,845.33
2023-06-24,Usine_B,Production,electricite,667.0
2024-05-11,Usine_A,Eclairage,electricite,365.32
2023-02-03,Usine_B,Production,gaz,565.27
2023-01-15,Bureau_Central,Climatisation,electricite,95.38
2024-01-14,Usine_A,Eclairage,electricite,397.69
2023-05-04,Bureau_Central,Bureaux,electricite,574.8
2023-10-15,Entrepot_Nord,Eclairage,electricite,466.4
2024-01-11,Bureau_Central,Climatisation,electricite,113.86
2023-09-16,Usine_A,Production,gaz,
2023-04-04,Usine_B,Production,electricite,434.41
2024-02-23,Bureau_Central,Bureaux,electricite,816.48
2024-08-25,Usine_B,Production,electricite,520.18
2023-04-22,Usine_A,Production,gaz,322.59
2024-12-23,Entrepot_Nord,Production,gaz,433.75
2024-12-10,Usine_A,Production,electricite,390.35
2024-10-08,Entrepot_Nord,Production,electricite,582.05
2023-09-21,Entrepot_Nord,Production,electricite,836.22
2023-06-09,Bureau_Central,Bureaux,gaz,509.5
2023-03-03,Usine_A,Production,electricite,393.14
2024-04-22,Bureau_Central,Bureaux,gaz,264.11
2023-07-08,Bureau_Central,Climatisation,electricite,205.65
2024-09-19,Entrepot_Nord,Production,electricite,409.69
2024-09-19,Usine_A,Eclairage,electricite,179.28
2024-12-19,Bureau_Central,Bureaux,electricite,544.43
2024-03-14,Usine_B,Climatisation,electricite,304.66
2023-11-23,Usine_A,Production,electricite,147.52
2023-03-05,Bureau_Central,Bureaux,gaz,1012.98
2024-11-23,Entrepot_Nord,Production,gaz,448.28
2023-12-13,Bureau_Central,Climatisation,electricite,162.63
2023-07-03,Entrepot_Nord,Eclairage,electricite,350.9
2024-01-10,Bureau_Central,Bureaux,electricite,305.23
2024-03-24,Usine_A,Production,gaz,778.77
2023-04-26,Usine_A,Production,gaz,499.02
2024-07-31,Usine_A,Eclairage,electricite,694.1
2024-10-04,Usine_A,Eclairage,electricite,603.19
2023-04-26,Entrepot_Nord,Production,electricite,244.71
2024-02-27,Bureau_Central,Bureaux,gaz,642.92
2023-11-18,Usine_B,Production,electricite,554.32
2024-09-16,Entrepot_Nord,Production,electricite,642.32
2024-08-10,Usine_B,Production,electricite,166.08
2024-02-28,Entrepot_Nord,Production,gaz,677.42
2023-05-26,Bureau_Central,Bureaux,electricite,645.71
2023-05-12,Entrepot_Nord,Production,electricite,622.62
2023-12-17,Bureau_Central,Bureaux,gaz,1025.01
2023-08-21,Bureau_Central,Climatisation,electricite,550.21
2023-08-05,Usine_A,Production,gaz,234.76
2024-03-15,Usine_A,Eclairage,electricite,706.07
2023-05-03,Usine_B,Production,gaz,464.38
2023-10-11,Usine_A,Eclairage,electricite,428.81
2023-11-23,Bureau_Central,Bureaux,gaz,402.2
2024-12-21,Bureau_Central,Bureaux,electricite,872.67
2023-10-25,Usine_B,Production,gaz,821.99
2023-03-17,Usine_A,Production,electricite,564.41
2023-01-30,Usine_A,Eclairage,electricite,705.46
2023-03-13,Entrepot_Nord,Production,gaz,928.19
2024-08-06,Entrepot_Nord,Production,gaz,188.24
2024-11-30,Entrepot_Nord,Production,gaz,745.8
2023-08-04,Entrepot_Nord,Production,gaz,427.79
2024-03-16,Bureau_Central,Bureaux,gaz,720.31
2023-11-14,Usine_A,Production,electricite,221.88
2023-09-23,Entrepot_Nord,Production,electricite,561.98
2024-10-25,Entrepot_Nord,Production,gaz,963.13
2024-07-19,Entrepot_Nord,Production,electricite,915.75
2024-06-18,Entrepot_Nord,Production,gaz,142.86
2023-07-11,Bureau_Central,Climatisation,electricite,175.93
2024-02-10,Usine_A,Eclairage,electricite,418.39
2024-03-04,Bureau_Central,Bureaux,gaz,656.42
2024-11-07,Usine_A,Eclairage,electricite,353.89
2024-09-27,Usine_A,Eclairage,electricite,392.73
2024-12-28,Bureau_Central,Bureaux,electricite,267.69
2023-05-26,Usine_A,Eclairage,electricite,164.18
2023-05-22,Entrepot_Nord,Eclairage,electricite,556.39
2023-09-19,Entrepot_Nord,Production,gaz,395.42
2024-09-16,Bureau_Central,Climatisation,electricite,181.79
2024-02-19,Entrepot_Nord,Eclairage,electricite,470.18
2024-11-11,Usine_A,Production,gaz,945.52
2024-06-07,Entrepot_Nord,Production,gaz,419.43
2023-10-08,Bureau_Central,Climatisation,electricite,485.19
2023-05-31,Bureau_Central,Bureaux,gaz,476.09
2024-10-11,Usine_B,Production,gaz,498.17
2023-11-01,Bureau_Central,Bureaux,electricite,221.54
2024-06-17,Usine_A,Eclairage,electricite,347.73
2024-11-11,Usine_B,Climatisation,electricite,227.37
2023-01-09,Bureau_Central,Bureaux,electricite,140.63
2024-05-01,Bureau_Central,Climatisation,electricite,186.12
2024-10-31,Usine_B,Climatisation,electricite,217.22
2024-02-08,Usine_B,Production,gaz,907.14
2024-01-15,Entrepot_Nord,Production,gaz,341.21
2023-05-12,Usine_B,Climatisation,electricite,383.19
2024-10-10,Usine_A,Production,electricite,181.52
2024-10-10,Usine_B,Climatisation,electricite,333.92
2023-01-21,Usine_A,Eclairage,electricite,877.94
2023-10-16,Usine_B,Climatisation,electricite,442.66
2024-05-12,Entrepot_Nord,Eclairage,electricite,242.62
2024-04-10,Entrepot_Nord,Eclairage,electricite,591.0
2024-04-24,Bureau_Central,Bureaux,electricite,3269.0003893151647
2023-04-25,Bureau_Central,Bureaux,electricite,588.18
2024-07-22,Usine_B,Production,electricite,551.19
2023-03-09,Entrepot_Nord,Production,gaz,948.21
2024-04-21,Entrepot_Nord,Production,gaz,204.76
2024-09-01,Usine_A,Eclairage,electricite,631.76
2023-02-02,Usine_B,Climatisation,electricite,34.31
2023-12-25,Usine_A,Production,gaz,436.39
2024-09-03,Usine_A,Production,electricite,193.67
2024-03-26,Entrepot_Nord,Eclairage,electricite,255.41
2023-02-17,Usine_A,Production,electricite,116.14
2024-04-02,Usine_A,Production,gaz,490.72
2024-01-29,Entrepot_Nord,Production,gaz,1046.43
2023-03-15,Usine_B,Production,electricite,519.53
2024-06-19,Usine_B,Production,gaz,148.93
2023-12-31,Entrepot_Nord,Production,gaz,736.72
2024-09-25,Usine_A,Production,gaz,185.15
2024-07-27,Entrepot_Nord,Production,gaz,151.83
2024-05-13,Entrepot_Nord,Eclairage,electricite,498.69
2024-08-06,Usine_A,Eclairage,electricite,864.69
2024-01-30,Bureau_Central,Bureaux,electricite,607.22
2024-05-25,Usine_A,Production,gaz,525.38
2024-07-01,Usine_B,Production,electricite,427.34
2023-08-12,Usine_A,Eclairage,electricite,194.27
2024-07-22,Usine_B,Production,gaz,365.63
2023-07-12,Usine_B,Production,electricite,397.11
2023-06-01,Entrepot_Nord,Production,gaz,532.26
2023-08-14,Bureau_Central,Bureaux,gaz,226.54
2024-04-30,Usine_B,Climatisation,electricite,
2023-08-22,Bureau_Central,Bureaux,gaz,227.21
2023-05-30,Entrepot_Nord,Production,gaz,181.59
2024-08-08,Entrepot_Nord,Production,electricite,389.74
2023-10-04,Usine_A,Production,electricite,615.58
2023-07-30,Usine_B,Production,gaz,152.12
2023-10-06,Usine_B,Production,gaz,266.51
2023-06-06,Usine_B,Production,gaz,521.16
2023-10-30,Usine_B,Production,electricite,499.57
2023-09-18,Bureau_Central,Climatisation,electricite,555.16
2024-10-24,Usine_A,Production,gaz,852.63
2023-06-13,Usine_B,Climatisation,electricite,414.75
2024-06-23,Usine_B,Production,gaz,351.17
2023-05-20,Bureau_Central,Bureaux,electricite,177.71
2024-11-05,Entrepot_Nord,Production,electricite,368.66
2023-01-31,Entrepot_Nord,Production,electricite,139.08
2023-04-02,Bureau_Central,Climatisation,electricite,127.39
2024-09-07,Usine_B,Production,electricite,491.22
2024-01-25,Bureau_Central,Bureaux,electricite,724.08
2023-08-17,Usine_B,Production,electricite,321.59
2024-04-20,Usine_A,Production,gaz,600.98
2024-03-24,Usine_B,Production,gaz,1014.9
2023-03-17,Usine_B,Production,electricite,715.73
2023-06-25,Bureau_Central,Climatisation,electricite,433.12
2024-04-01,Usine_B,Production,gaz,855.41
2023-12-19,Bureau_Central,Climatisation,electricite,186.35
2023-06-28,Usine_A,Production,electricite,137.45
2024-08-10,Usine_B,Production,gaz,170.06
2023-02-23,Bureau_Central,Climatisation,electricite,154.92
2023-04-03,Usine_B,Climatisation,electricite,129.75
2023-07-11,Usine_A,Eclairage,electricite,392.83
2024-06-12,Entrepot_Nord,Production,electricite,359.83
2023-08-22,Usine_B,Production,electricite,624.6
2024-01-30,Usine_B,Production,electricite,100.91
2023-07-16,Usine_B,Climatisation,electricite,751.25
2023-08-12,Usine_B,Production,gaz,327.58
2023-08-20,Usine_B,Production,gaz,432.39
2023-07-20,Entrepot_Nord,Production,gaz,364.26
2024-07-24,Entrepot_Nord,Production,electricite,541.15
2023-03-26,Usine_B,Production,electricite,485.43
2023-02-11,Usine_A,Production,gaz,1043.28
2024-01-09,Entrepot_Nord,Eclairage,electricite,246.33
2023-11-10,Usine_B,Production,gaz,352.38
2023-12-04,Entrepot_Nord,Production,electricite,818.35
2023-10-27,Usine_A,Production,electricite,462.35
2024-03-27,Entrepot_Nord,Eclairage,electricite,603.03
2023-10-14,Usine_A,Production,electricite,95.31
2023-04-19,Usine_B,Production,electricite,465.48
2024-03-10,Usine_A,Production,gaz,726.61
2024-01-10,Usine_B,Production,gaz,314.98
2024-09-15,Usine_A,Production,gaz,562.43
2023-06-13,Entrepot_Nord,Production,gaz,415.19
2024-01-24,Usine_A,Production,electricite,443.52
2024-02-20,Entrepot_Nord,Production,gaz,463.21
2024-11-07,Entrepot_Nord,Eclairage,electricite,350.5
2023-06-28,Entrepot_Nord,Production,electricite,112.59
2023-03-12,Entrepot_Nord,Eclairage,electricite,571.02
2023-10-29,Usine_B,Production,electricite,793.34
2023-05-20,Usine_A,Production,electricite,477.55
2024-04-13,Entrepot_Nord,Production,electricite,686.58
2023-06-14,Usine_B,Climatisation,electricite,649.08
2024-04-08,Usine_A,Production,electricite,309.36
2023-11-06,Usine_A,Eclairage,electricite,511.69
2023-04-10,Usine_B,Production,gaz,276.35
2024-09-22,Usine_A,Production,gaz,460.62
2024-01-12,Usine_B,Production,electricite,756.93
2023-01-09,Usine_B,Production,gaz,725.12
2023-07-15,Bureau_Central,Bureaux,gaz,197.26
2023-08-28,Entrepot_Nord,Production,electricite,454.29
2024-05-05,Entrepot_Nord,Production,gaz,451.15
2023-02-09,Bureau_Central,Bureaux,electricite,135.88
2024-01-28,Usine_B,Production,electricite,619.5
2023-05-20,Entrepot_Nord,Eclairage,electricite,706.52
2024-09-13,Entrepot_Nord,Production,electricite,136.55
2024-04-19,Entrepot_Nord,Eclairage,electricite,
2024-09-30,Bureau_Central,Bureaux,electricite,187.97
2024-01-07,Usine_A,Production,electricite,423.46
2024-07-22,Usine_A,Production,electricite,904.83
2023-02-15,Bureau_Central,Climatisation,electricite,79.58
2023-05-08,Usine_A,Production,electricite,641.52
2023-07-09,Usine_A,Eclairage,electricite,213.63
2024-02-15,Usine_A,Eclairage,electricite,355.76
2024-06-01,Bureau_Central,Bureaux,electricite,471.49
2023-09-11,Bureau_Central,Climatisation,electricite,168.73
2024-10-25,Usine_B,Production,electricite,694.3
2023-12-06,Usine_A,Eclairage,electricite,451.87
2023-04-06,Usine_B,Climatisation,electricite,136.01
2024-09-13,Usine_A,Production,gaz,240.97
2023-08-19,Entrepot_Nord,Production,gaz,419.4
2024-01-19,Usine_B,Production,gaz,407.24
2024-10-04,Entrepot_Nord,Production,electricite,398.03
2023-02-13,Entrepot_Nord,Eclairage,electricite,212.04
2024-04-12,Entrepot_Nord,Production,gaz,393.96
2023-09-19,Bureau_Central,Bureaux,gaz,636.18
2024-02-18,Entrepot_Nord,Production,gaz,969.96
2024-01-28,Entrepot_Nord,Production,electricite,582.73
2023-04-11,Usine_B,Production,gaz,436.95
2023-06-24,Entrepot_Nord,Production,gaz,171.9
2023-03-02,Usine_B,Production,gaz,539.53
2023-06-03,Usine_A,Production,gaz,206.48
2023-03-16,Usine_B,Climatisation,electricite,186.42
2024-05-10,Bureau_Central,Bureaux,electricite,312.46
2023-08-13,Usine_A,Eclairage,electricite,172.11
2024-03-14,Usine_B,Production,electricite,438.99
2024-05-09,Entrepot_Nord,Production,electricite,793.52
2023-01-17,Bureau_Central,Bureaux,electricite,704.89
2024-06-18,Entrepot_Nord,Production,electricite,248.49
