date,batiment,zone,kwh,temperature_ext,occupation_pct,type_energie
2025-01-06,Usine Sud,Tertiaire,118.0,4.47,25.3,gaz
2025-01-06,Usine Sud,Logistique,114.98,4.47,25.3,gaz
2025-01-06,Usine Sud,Logistique,50.16,4.47,25.3,electricite
2025-01-07,Usine Nord,Tertiaire,123.44,2.19,32.1,gaz
2025-01-07,Usine Nord,Logistique,126.12,2.19,32.1,gaz
2025-01-07,Usine Nord,Logistique,29.52,2.19,32.1,electricite
2025-01-07,Usine Sud,Production,239.09,2.19,32.1,electricite
2025-01-07,Usine Sud,Logistique,128.47,2.19,32.1,gaz
2025-01-07,Usine Sud,Maintenance,120.69,2.19,32.1,gaz
2025-01-08,Usine Nord,Production,215.5,-2.62,60.6,gaz
2025-01-08,Usine Nord,Tertiaire,150.33,-2.62,60.6,gaz
2025-01-08,Usine Nord,Logistique,147.17,-2.62,60.6,gaz
2025-01-08,Usine Nord,Maintenance,151.73,-2.62,60.6,gaz
2025-01-08,Usine Sud,Production,222.1,-2.62,60.6,gaz
2025-01-08,Usine Sud,Tertiaire,147.06,-2.62,60.6,gaz
2025-01-08,Usine Sud,Logistique,151.08,-2.62,60.6,gaz
2025-01-08,Usine Sud,Maintenance,148.13,-2.62,60.6,gaz
2025-01-08,Usine Sud,Maintenance,22.04,-2.62,60.6,electricite
2025-01-09,Usine Nord,Production,205.18,0.29,81.8,gaz
2025-01-09,Usine Nord,Tertiaire,32.86,0.29,81.8,electricite
2025-01-09,Usine Nord,Logistique,41.43,0.29,81.8,electricite
2025-01-09,Usine Nord,Maintenance,133.1,0.29,81.8,gaz
2025-01-09,Usine Sud,Production,198.43,0.29,81.8,gaz
2025-01-09,Usine Sud,Production,233.02,0.29,81.8,electricite
2025-01-09,Usine Sud,Tertiaire,130.55,0.29,81.8,gaz
2025-01-09,Usine Sud,Logistique,135.69,0.29,81.8,gaz
2025-01-10,Usine Nord,Production,227.34,-1.38,95.3,electricite
2025-01-10,Usine Nord,Tertiaire,139.24,-1.38,95.3,gaz
2025-01-10,Usine Nord,Logistique,141.35,-1.38,95.3,gaz
2025-01-10,Usine Nord,Logistique,41.99,-1.38,95.3,electricite
2025-01-10,Usine Nord,Maintenance,135.42,-1.38,95.3,gaz
2025-01-10,Usine Nord,Maintenance,28.08,-1.38,95.3,electricite
2025-01-10,Usine Sud,Logistique,144.64,-1.38,95.3,gaz
2025-01-11,Usine Nord,Tertiaire,30.37,-5.12,73.2,electricite
2025-01-11,Usine Nord,Logistique,162.85,-5.12,73.2,gaz
2025-01-11,Usine Nord,Maintenance,158.92,-5.12,73.2,gaz
2025-01-11,Usine Nord,Maintenance,18.32,-5.12,73.2,electricite
2025-01-11,Usine Sud,Maintenance,156.73,-5.12,73.2,gaz
2025-01-11,Usine Sud,Maintenance,33.08,-5.12,73.2,electricite
2025-01-12,Usine Nord,Production,225.41,-4.48,47.6,gaz
2025-01-12,Usine Nord,Production,245.06,-4.48,47.6,electricite
2025-01-12,Usine Nord,Maintenance,157.25,-4.48,47.6,gaz
2025-01-12,Usine Nord,Maintenance,24.64,-4.48,47.6,electricite
2025-01-12,Usine Sud,Production,230.39,-4.48,47.6,gaz
2025-01-12,Usine Sud,Production,240.7,-4.48,47.6,electricite
2025-01-12,Usine Sud,Logistique,34.09,-4.48,47.6,electricite
2025-01-13,Usine Nord,Production,227.79,-5.14,31.5,gaz
2025-01-13,Usine Nord,Production,247.46,-5.14,31.5,electricite
2025-01-13,Usine Nord,Tertiaire,165.96,-5.14,31.5,gaz
2025-01-13,Usine Nord,Maintenance,31.77,-5.14,31.5,electricite
2025-01-13,Usine Sud,Logistique,28.03,-5.14,31.5,electricite
2025-01-13,Usine Sud,Maintenance,17.06,-5.14,31.5,electricite
2025-01-14,Usine Nord,Tertiaire,148.17,-2.23,34.7,gaz
2025-01-14,Usine Sud,Production,249.29,-2.23,34.7,electricite
2025-01-14,Usine Sud,Tertiaire,147.88,-2.23,34.7,gaz
2025-01-14,Usine Sud,Tertiaire,21.08,-2.23,34.7,electricite
2025-01-14,Usine Sud,Logistique,150.55,-2.23,34.7,gaz
2025-01-15,Usine Nord,Production,239.43,-1.48,55.3,electricite
2025-01-15,Usine Nord,Tertiaire,143.48,-1.48,55.3,gaz
2025-01-15,Usine Nord,Tertiaire,17.78,-1.48,55.3,electricite
2025-01-15,Usine Nord,Maintenance,139.59,-1.48,55.3,gaz
2025-01-15,Usine Sud,Production,211.59,-1.48,55.3,gaz
2025-01-15,Usine Sud,Tertiaire,142.24,-1.48,55.3,gaz
2025-01-15,Usine Sud,Logistique,141.97,-1.48,55.3,gaz
2025-01-15,Usine Sud,Maintenance,141.1,-1.48,55.3,gaz
2025-01-16,Usine Nord,Production,244.85,-7.3,88.7,gaz
2025-01-16,Usine Nord,Production,208.16,-7.3,88.7,electricite
2025-01-16,Usine Nord,Tertiaire,28.03,-7.3,88.7,electricite
2025-01-16,Usine Nord,Logistique,174.42,-7.3,88.7,gaz
2025-01-16,Usine Sud,Production,241.43,-7.3,88.7,gaz
2025-01-16,Usine Sud,Tertiaire,173.1,-7.3,88.7,gaz
2025-01-16,Usine Sud,Tertiaire,24.23,-7.3,88.7,electricite
2025-01-16,Usine Sud,Logistique,40.01,-7.3,88.7,electricite
2025-01-16,Usine Sud,Maintenance,25.28,-7.3,88.7,electricite
2025-01-17,Usine Nord,Production,192.3,1.28,94.6,gaz
2025-01-17,Usine Nord,Tertiaire,32.42,1.28,94.6,electricite
2025-01-17,Usine Sud,Tertiaire,128.97,1.28,94.6,gaz
2025-01-17,Usine Sud,Logistique,30.55,1.28,94.6,electricite
2025-01-17,Usine Sud,Maintenance,10.04,1.28,94.6,electricite
2025-01-18,Usine Nord,Tertiaire,42.88,-1.77,74.1,electricite
2025-01-18,Usine Nord,Logistique,148.45,-1.77,74.1,gaz
2025-01-18,Usine Nord,Maintenance,141.69,-1.77,74.1,gaz
2025-01-18,Usine Sud,Production,234.36,-1.77,74.1,electricite
2025-01-18,Usine Sud,Tertiaire,31.26,-1.77,74.1,electricite
2025-01-18,Usine Sud,Logistique,146.15,-1.77,74.1,gaz
2025-01-18,Usine Sud,Maintenance,145.04,-1.77,74.1,gaz
2025-01-18,Usine Sud,Maintenance,13.59,-1.77,74.1,electricite
2025-01-19,Usine Nord,Tertiaire,,-2.34,47.2,gaz
2025-01-19,Usine Nord,Logistique,31.28,-2.34,47.2,electricite
2025-01-19,Usine Nord,Maintenance,142.09,-2.34,47.2,gaz
2025-01-19,Usine Nord,Maintenance,18.37,-2.34,47.2,electricite
2025-01-19,Usine Sud,Production,241.03,-2.34,47.2,electricite
2025-01-19,Usine Sud,Logistique,146.99,-2.34,47.2,gaz
2025-01-19,Usine Sud,Logistique,31.16,-2.34,47.2,electricite
2025-01-19,Usine Sud,Maintenance,27.03,-2.34,47.2,electricite
2025-01-20,Usine Nord,Production,217.53,-2.8,29.8,gaz
2025-01-20,Usine Nord,Tertiaire,152.19,-2.8,29.8,gaz
2025-01-20,Usine Nord,Logistique,147.61,-2.8,29.8,gaz
2025-01-20,Usine Nord,Logistique,37.2,-2.8,29.8,electricite
2025-01-20,Usine Sud,Tertiaire,21.43,-2.8,29.8,electricite
2025-01-20,Usine Sud,Maintenance,17.34,-2.8,29.8,electricite
2025-01-21,Usine Nord,Tertiaire,24.65,2.99,40.7,electricite
2025-01-21,Usine Nord,Logistique,122.55,2.99,40.7,gaz
2025-01-21,Usine Nord,Maintenance,120.21,2.99,40.7,gaz
2025-01-21,Usine Sud,Tertiaire,121.31,2.99,40.7,gaz
2025-01-22,Usine Nord,Tertiaire,13.32,-2.3,59.6,electricite
2025-01-22,Usine Nord,Logistique,149.43,-2.3,59.6,gaz
2025-01-22,Usine Nord,Logistique,41.49,-2.3,59.6,electricite
2025-01-22,Usine Sud,Tertiaire,53.15,-2.3,59.6,electricite
2025-01-22,Usine Sud,Maintenance,28.73,-2.3,59.6,electricite
2025-01-23,Usine Nord,Production,244.17,-2.23,84.0,electricite
2025-01-23,Usine Nord,Maintenance,145.14,-2.23,84.0,gaz
2025-01-23,Usine Sud,Production,215.7,-2.23,84.0,gaz
2025-01-23,Usine Sud,Production,240.61,-2.23,84.0,electricite
2025-01-23,Usine Sud,Tertiaire,148.3,-2.23,84.0,gaz
2025-01-23,Usine Sud,Logistique,146.87,-2.23,84.0,gaz
2025-01-24,Usine Nord,Production,206.0,0.51,88.3,gaz
2025-01-24,Usine Nord,Production,248.82,0.51,88.3,electricite
2025-01-24,Usine Nord,Tertiaire,32.05,0.51,88.3,electricite
2025-01-24,Usine Nord,Logistique,136.78,0.51,88.3,gaz
2025-01-24,Usine Nord,Maintenance,131.24,0.51,88.3,gaz
2025-01-24,Usine Sud,Production,195.87,0.51,88.3,gaz
2025-01-24,Usine Sud,Tertiaire,37.9,0.51,88.3,electricite
2025-01-24,Usine Sud,Logistique,134.92,0.51,88.3,gaz
2025-01-25,Usine Nord,Tertiaire,8.04,-1.59,72.5,electricite
2025-01-25,Usine Nord,Logistique,28.23,-1.59,72.5,electricite
25/01/2025,Usine Nord,Maintenance,30.02,-1.59,72.5,electricite
2025-01-25,Usine Sud,Production,208.7,-1.59,72.5,gaz
2025-01-25,Usine Sud,Production,233.65,-1.59,72.5,electricite
2025-01-25,Usine Sud,Tertiaire,136.28,-1.59,72.5,gaz
2025-01-25,Usine Sud,Tertiaire,45.84,-1.59,72.5,electricite
2025-01-26,Usine Nord,Production,207.57,0.81,46.6,gaz
2025-01-26,Usine Nord,Tertiaire,130.19,0.81,46.6,gaz
2025-01-26,Usine Sud,Production,199.27,0.81,46.6,gaz
2025-01-26,Usine Sud,Tertiaire,134.13,0.81,46.6,gaz
2025-01-26,Usine Sud,Maintenance,7.75,0.81,46.6,electricite
2025-01-27,Usine Nord,Production,211.13,-1.21,26.4,gaz
2025-01-27,Usine Nord,Production,245.57,-1.21,26.4,electricite
2025-01-27,Usine Nord,Tertiaire,145.21,-1.21,26.4,gaz
2025-01-27,Usine Nord,Tertiaire,32.32,-1.21,26.4,electricite
2025-01-27,Usine Nord,Logistique,142.88,-1.21,26.4,gaz
2025-01-27,Usine Nord,Maintenance,18.41,-1.21,26.4,electricite
2025-01-27,Usine Sud,Production,208.01,-1.21,26.4,gaz
2025-01-28,Usine Nord,Production,253.42,-1.21,40.3,electricite
2025-01-28,Usine Nord,Logistique,142.82,-1.21,40.3,gaz
2025-01-28,Usine Sud,Production,245.14,-1.21,40.3,electricite
2025-01-28,Usine Sud,Maintenance,136.59,-1.21,40.3,gaz
2025-01-29,Usine Nord,Production,197.56,2.25,55.3,gaz
2025-01-29,Usine Nord,Tertiaire,123.34,2.25,55.3,gaz
2025-01-29,Usine Nord,Tertiaire,23.08,2.25,55.3,electricite
2025-01-29,Usine Nord,Maintenance,123.69,2.25,55.3,gaz
2025-01-29,Usine Sud,Logistique,38.55,2.25,55.3,electricite
2025-01-29,Usine Sud,Maintenance,125.79,2.25,55.3,gaz
2025-01-30,Usine Nord,Production,240.89,-1.46,79.1,electricite
2025-01-30,Usine Nord,Maintenance,140.23,-1.46,79.1,gaz
2025-01-30,Usine Sud,Production,217.23,-1.46,79.1,gaz
2025-01-30,Usine Sud,Logistique,141.77,-1.46,79.1,gaz
2025-01-30,Usine Sud,Logistique,33.26,-1.46,79.1,electricite
2025-01-31,Usine Nord,Production,224.45,-3.91,88.8,gaz
2025-01-31,Usine Nord,Production,225.84,-3.91,88.8,electricite
2025-01-31,Usine Nord,Logistique,156.54,-3.91,88.8,gaz
2025-01-31,Usine Nord,Logistique,41.25,-3.91,88.8,electricite
2025-01-31,Usine Nord,Maintenance,43.58,-3.91,88.8,electricite
2025-01-31,Usine Sud,Production,222.74,-3.91,88.8,gaz
2025-01-31,Usine Sud,Production,239.55,-3.91,88.8,electricite
2025-01-31,Usine Sud,Tertiaire,28.02,-3.91,88.8,electricite
2025-01-31,Usine Sud,Logistique,155.28,-3.91,88.8,gaz
2025-01-31,Usine Sud,Logistique,19.91,-3.91,88.8,electricite
2025-01-31,Usine Sud,Maintenance,148.72,-3.91,88.8,gaz
2025-02-01,Usine Nord,Production,236.05,-4.91,71.5,electricite
2025-02-01,Usine Nord,Tertiaire,38.34,-4.91,71.5,electricite
2025-02-01,Usine Nord,Maintenance,160.28,-4.91,71.5,gaz
2025-02-01,Usine Nord,Maintenance,14.56,-4.91,71.5,electricite
2025-02-01,Usine Sud,Production,236.27,-4.91,71.5,gaz
2025-02-01,Usine Sud,Production,239.8,-4.91,71.5,electricite
2025-02-01,Usine Sud,Logistique,164.74,-4.91,71.5,gaz
2025-02-01,Usine Sud,Logistique,44.63,-4.91,71.5,electricite
2025-02-01,Usine Sud,Maintenance,157.73,-4.91,71.5,gaz
2025-02-01,Usine Sud,Maintenance,31.25,-4.91,71.5,electricite
2025-02-02,Usine Nord,Production,234.07,-0.88,40.2,electricite
2025-02-02,Usine Nord,Tertiaire,142.9,-0.88,40.2,gaz
2025-02-02,Usine Nord,Tertiaire,43.43,-0.88,40.2,electricite
2025-02-02,Usine Nord,Logistique,22.18,-0.88,40.2,electricite
2025-02-02,Usine Sud,Production,210.24,-0.88,40.2,gaz
2025-02-02,Usine Sud,Production,236.7,-0.88,40.2,electricite
2025-02-02,Usine Sud,Maintenance,135.84,-0.88,40.2,gaz
2025-02-02,Usine Sud,Maintenance,15.34,-0.88,40.2,electricite
2025-02-03,Usine Nord,Tertiaire,154.2,-3.87,34.5,gaz
2025-02-03,Usine Nord,Logistique,20.92,-3.87,34.5,electricite
2025-02-03,Usine Nord,Maintenance,155.65,-3.87,34.5,gaz
2025-02-03,Usine Nord,Maintenance,25.34,-3.87,34.5,electricite
2025-02-03,Usine Sud,Tertiaire,159.48,-3.87,34.5,gaz
2025-02-03,Usine Sud,Logistique,42.61,-3.87,34.5,electricite
2025-02-03,Usine Sud,Maintenance,14.49,-3.87,34.5,electricite
2025-02-04,Usine Nord,Tertiaire,47.51,1.36,45.0,electricite
2025-02-04,Usine Nord,Logistique,25.73,1.36,45.0,electricite
2025-02-04,Usine Sud,Production,243.17,1.36,45.0,electricite
2025-02-04,Usine Sud,Tertiaire,129.28,1.36,45.0,gaz
2025-02-04,Usine Sud,Logistique,135.97,1.36,45.0,gaz
2025-02-04,Usine Sud,Logistique,43.45,1.36,45.0,electricite
2025-02-04,Usine Sud,Maintenance,12.17,1.36,45.0,electricite
2025-02-05,Usine Nord,Production,212.92,0.04,54.6,gaz
2025-02-05,Usine Nord,Maintenance,130.79,0.04,54.6,gaz
2025-02-05,Usine Sud,Production,231.02,0.04,54.6,electricite
2025-02-05,Usine Sud,Tertiaire,138.65,0.04,54.6,gaz
2025-02-05,Usine Sud,Logistique,50.24,0.04,54.6,electricite
2025-02-06,Usine Nord,Tertiaire,144.1,-1.64,86.1,gaz
2025-02-06,Usine Nord,Logistique,142.75,-1.64,86.1,gaz
2025-02-06,Usine Nord,Logistique,45.91,-1.64,86.1,electricite
2025-02-06,Usine Nord,Maintenance,138.36,-1.64,86.1,gaz
2025-02-06,Usine Sud,Logistique,146.74,-1.64,86.1,gaz
2025-02-06,Usine Sud,Maintenance,136.5,-1.64,86.1,gaz
2025-02-07,Usine Nord,Tertiaire,34.74,-2.57,92.7,electricite
2025-02-07,Usine Nord,Maintenance,146.04,-2.57,92.7,gaz
2025-02-07,Usine Nord,Maintenance,20.3,-2.57,92.7,electricite
2025-02-07,Usine Sud,Production,221.56,-2.57,92.7,gaz
2025-02-07,Usine Sud,Tertiaire,149.19,-2.57,92.7,gaz
2025-02-08,Usine Nord,Production,209.59,-0.73,68.4,gaz
2025-02-08,Usine Nord,Production,238.15,-0.73,68.4,electricite
2025-02-08,Usine Nord,Logistique,139.11,-0.73,68.4,gaz
2025-02-08,Usine Nord,Maintenance,134.53,-0.73,68.4,gaz
2025-02-09,Usine Nord,Maintenance,128.73,1.37,59.0,gaz
2025-02-09,Usine Nord,Maintenance,23.32,1.37,59.0,electricite
2025-02-09,Usine Sud,Production,194.98,1.37,59.0,gaz
2025-02-10,Usine Nord,Production,225.15,2.27,32.7,electricite
2025-02-10,Usine Nord,Tertiaire,27.33,2.27,32.7,electricite
2025-02-10,Usine Sud,Production,194.03,2.27,32.7,gaz
2025-02-10,Usine Sud,Tertiaire,124.11,2.27,32.7,gaz
2025-02-10,Usine Sud,Maintenance,17.97,2.27,32.7,electricite
2025-02-11,Usine Nord,Tertiaire,25.18,-3.78,37.7,electricite
2025-02-11,Usine Nord,Logistique,158.24,-3.78,37.7,gaz
2025-02-11,Usine Nord,Logistique,50.85,-3.78,37.7,electricite
2025-02-11,Usine Nord,Maintenance,152.97,-3.78,37.7,gaz
2025-02-11,Usine Nord,Maintenance,0.5,-3.78,37.7,electricite
2025-02-11,Usine Sud,Production,228.28,-3.78,37.7,gaz
2025-02-11,Usine Sud,Tertiaire,158.59,-3.78,37.7,gaz
2025-02-11,Usine Sud,Logistique,160.77,-3.78,37.7,gaz
2025-02-11,Usine Sud,Logistique,25.82,-3.78,37.7,electricite
2025-02-11,Usine Sud,Maintenance,150.53,-3.78,37.7,gaz
2025-02-11,Usine Sud,Maintenance,30.63,-3.78,37.7,electricite
2025-02-12,Usine Nord,Production,237.41,5.62,69.8,electricite
2025-02-12,Usine Nord,Maintenance,102.09,5.62,69.8,gaz
2025-02-12,Usine Nord,Maintenance,21.18,5.62,69.8,electricite
2025-02-12,Usine Sud,Production,242.01,5.62,69.8,electricite
2025-02-12,Usine Sud,Tertiaire,40.02,5.62,69.8,electricite
2025-02-12,Usine Sud,Logistique,108.17,5.62,69.8,gaz
2025-02-12,Usine Sud,Maintenance,107.35,5.62,69.8,gaz
2025-02-13,Usine Nord,Tertiaire,148.15,-1.91,75.6,gaz
2025-02-13,Usine Nord,Tertiaire,28.02,-1.91,75.6,electricite
2025-02-13,Usine Nord,Maintenance,139.32,-1.91,75.6,gaz
2025-02-13,Usine Sud,Production,216.43,-1.91,75.6,gaz
2025-02-13,Usine Sud,Logistique,37.16,-1.91,75.6,electricite
2025-02-13,Usine Sud,Maintenance,48.36,-1.91,75.6,electricite
2025-02-14,Usine Nord,Production,219.94,-3.4,98.2,gaz
2025-02-14,Usine Nord,Production,240.17,-3.4,98.2,electricite
2025-02-14,Usine Nord,Tertiaire,154.45,-3.4,98.2,gaz
2025-02-14,Usine Nord,Logistique,34.47,-3.4,98.2,electricite
2025-02-14,Usine Sud,Maintenance,29.03,-3.4,98.2,electricite
2025-02-15,Usine Nord,Logistique,116.56,4.92,72.3,gaz
2025-02-15,Usine Nord,Logistique,32.05,4.92,72.3,electricite
2025-02-15,Usine Nord,Maintenance,108.52,4.92,72.3,gaz
2025-02-15,Usine Nord,Maintenance,18.69,4.92,72.3,electricite
2025-02-15,Usine Sud,Production,184.75,4.92,72.3,gaz
2025-02-15,Usine Sud,Production,240.86,4.92,72.3,electricite
2025-02-15,Usine Sud,Tertiaire,31.82,4.92,72.3,electricite
2025-02-15,Usine Sud,Logistique,115.45,4.92,72.3,gaz
2025-02-15,Usine Sud,Logistique,29.76,4.92,72.3,electricite
2025-02-15,Usine Sud,Maintenance,109.99,4.92,72.3,gaz
2025-02-15,Usine Sud,Maintenance,7.92,4.92,72.3,electricite
2025-02-16,Usine Nord,Production,182.46,4.03,50.1,gaz
2025-02-16,Usine Nord,Tertiaire,111.45,4.03,50.1,gaz
2025-02-16,Usine Nord,Tertiaire,29.2,4.03,50.1,electricite
2025-02-16,Usine Sud,Production,253.87,4.03,50.1,electricite
2025-02-17,Usine Nord,Production,248.85,3.32,30.7,electricite
2025-02-17,Usine Nord,Tertiaire,29.39,3.32,30.7,electricite
2025-02-17,Usine Nord,Logistique,122.37,3.32,30.7,gaz
2025-02-17,Usine Nord,Logistique,42.73,3.32,30.7,electricite
2025-02-17,Usine Sud,Tertiaire,15.65,3.32,30.7,electricite
2025-02-17,Usine Sud,Logistique,121.28,3.32,30.7,gaz
2025-02-17,Usine Sud,Maintenance,117.08,3.32,30.7,gaz
2025-02-17,Usine Sud,Maintenance,21.85,3.32,30.7,electricite
2025-02-18,Usine Nord,Tertiaire,33.98,-1.39,34.1,electricite
2025-02-18,Usine Nord,Logistique,27.93,-1.39,34.1,electricite
2025-02-18,Usine Nord,Maintenance,144.32,-1.39,34.1,gaz
2025-02-18,Usine Nord,Maintenance,19.62,-1.39,34.1,electricite
2025-02-18,Usine Sud,Logistique,141.51,-1.39,34.1,gaz
2025-02-18,Usine Sud,Logistique,19.82,-1.39,34.1,electricite
2025-02-18,Usine Sud,Maintenance,140.26,-1.39,34.1,gaz
2025-02-18,Usine Sud,Maintenance,22.42,-1.39,34.1,electricite
2025-02-19,Usine Nord,Production,180.77,3.97,57.0,gaz
2025-02-19,Usine Nord,Tertiaire,115.47,3.97,57.0,gaz
2025-02-19,Usine Nord,Logistique,27.26,3.97,57.0,electricite
2025-02-19,Usine Nord,Maintenance,40.98,3.97,57.0,electricite
2025-02-19,Usine Sud,Tertiaire,26.21,3.97,57.0,electricite
2025-02-19,Usine Sud,Logistique,35.56,3.97,57.0,electricite
2025-02-19,Usine Sud,Maintenance,113.72,3.97,57.0,gaz
2025-02-19,Usine Sud,Maintenance,27.77,3.97,57.0,electricite
2025-02-20,Usine Nord,Production,195.31,0.57,84.6,gaz
2025-02-20,Usine Nord,Production,252.28,0.57,84.6,electricite
2025-02-20,Usine Nord,Logistique,41.51,0.57,84.6,electricite
2025-02-20,Usine Sud,Production,198.56,0.57,84.6,gaz
2025-02-20,Usine Sud,Tertiaire,134.54,0.57,84.6,gaz
2025-02-20,Usine Sud,Tertiaire,26.15,0.57,84.6,electricite
2025-02-20,Usine Sud,Maintenance,130.0,0.57,84.6,gaz
2025-02-20,Usine Sud,Maintenance,35.55,0.57,84.6,electricite
2025-02-21,Usine Nord,Production,235.86,-3.14,84.7,electricite
2025-02-21,Usine Nord,Logistique,151.36,-3.14,84.7,gaz
2025-02-21,Usine Nord,Logistique,39.62,-3.14,84.7,electricite
2025-02-21,Usine Nord,Maintenance,146.83,-3.14,84.7,gaz
2025-02-21,Usine Sud,Production,230.49,-3.14,84.7,electricite
2025-02-21,Usine Sud,Tertiaire,149.54,-3.14,84.7,gaz
2025-02-21,Usine Sud,Logistique,27.65,-3.14,84.7,electricite
2025-02-21,Usine Sud,Maintenance,150.98,-3.14,84.7,gaz
2025-02-22,Usine Nord,Production,245.46,-0.84,72.9,electricite
2025-02-22,Usine Nord,Tertiaire,17.12,-0.84,72.9,electricite
2025-02-22,Usine Nord,Logistique,40.09,-0.84,72.9,electricite
2025-02-22,Usine Nord,Maintenance,,-0.84,72.9,electricite
2025-02-22,Usine Sud,Production,248.09,-0.84,72.9,electricite
2025-02-22,Usine Sud,Tertiaire,24.28,-0.84,72.9,electricite
2025-02-22,Usine Sud,Logistique,141.48,-0.84,72.9,gaz
2025-02-22,Usine Sud,Logistique,31.15,-0.84,72.9,electricite
2025-02-22,Usine Sud,Maintenance,138.74,-0.84,72.9,gaz
2025-02-23,Usine Nord,Production,219.3,-2.47,45.3,gaz
2025-02-23,Usine Nord,Tertiaire,39.16,-2.47,45.3,electricite
2025-02-23,Usine Nord,Logistique,36.3,-2.47,45.3,electricite
2025-02-23,Usine Nord,Maintenance,144.37,-2.47,45.3,gaz
2025-02-23,Usine Sud,Production,211.83,-2.47,45.3,gaz
2025-02-23,Usine Sud,Tertiaire,147.1,-2.47,45.3,gaz
2025-02-23,Usine Sud,Maintenance,150.0,-2.47,45.3,gaz
2025-02-23,Usine Sud,Maintenance,14.49,-2.47,45.3,electricite
2025-02-24,Usine Nord,Production,181.96,4.17,26.6,gaz
2025-02-24,Usine Sud,Logistique,118.19,4.17,26.6,gaz
2025-02-24,Usine Sud,Logistique,30.85,4.17,26.6,electricite
2025-02-24,Usine Sud,Maintenance,26.51,4.17,26.6,electricite
2025-02-25,Usine Nord,Production,176.71,5.13,40.0,gaz
2025-02-25,Usine Nord,Tertiaire,111.48,5.13,40.0,gaz
2025-02-25,Usine Nord,Tertiaire,22.95,5.13,40.0,electricite
2025-02-25,Usine Nord,Logistique,43.72,5.13,40.0,electricite
2025-02-25,Usine Nord,Maintenance,99.47,5.13,40.0,gaz
2025-02-25,Usine Nord,Maintenance,33.08,5.13,40.0,electricite
2025-02-25,Usine Sud,Production,230.43,5.13,40.0,electricite
2025-02-26,Usine Nord,Production,209.15,-1.36,64.3,gaz
2025-02-26,Usine Nord,Maintenance,142.71,-1.36,64.3,gaz
2025-02-26,Usine Nord,Maintenance,30.46,-1.36,64.3,electricite
2025-02-26,Usine Sud,Production,210.46,-1.36,64.3,gaz
